FID,OBJECTID,VegUnite,ZST_DOM,ZND_DOM,ZRD_DOM,ecosite1,FGUnite,Dom1FG,Dom2FG,Dom3FG,esite1type,GSC
35,36,"FLCE,LATR2,BOER4",FLCE,LATR2,BOER4,Bottomland,"shrub,shrub,PG",shrub,shrub,PG,1,5
43,44,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Bottomland,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
55,56,"FLCE,PRGL2,SCBR2",FLCE,PRGL2,SCBR2,Bottomland,"shrub,shrub,PG",shrub,shrub,PG,1,5
61,62,"FLCE,SCBR2,PLMU3",FLCE,SCBR2,PLMU3,Bottomland,"shrub,PG,PG",shrub,PG,PG,1,4
88,89,"LATR2,DAPU7,",LATR2,DAPU7,,Bottomland,"shrub,PG",shrub,PG,NA,1,4
90,91,"LATR2,FLCE,BOER4",LATR2,FLCE,BOER4,Bottomland,"shrub,shrub,PG",shrub,shrub,PG,1,5
95,96,"LATR2,FLCE,GUSA2",LATR2,FLCE,GUSA2,Bottomland,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,5
100,101,"LATR2,FLCE,PRGL2",LATR2,FLCE,PRGL2,Bottomland,"shrub,shrub,shrub",shrub,shrub,shrub,1,5
114,115,"PLMU3,FLCE,LATR2",PLMU3,FLCE,LATR2,Bottomland,"PG,shrub,shrub",PG,shrub,shrub,1,4
151,152,"PRGL2,GUSA2,BOER4",PRGL2,GUSA2,BOER4,Bottomland,"shrub,subshrub,PG",shrub,subshrub,PG,1,5
179,180,"SCBR2,PLMU3,",SCBR2,PLMU3,,Bottomland,"PG,PG",PG,PG,NA,1,2
194,195,"SCBR2,PLMU3,SPAI",SCBR2,PLMU3,SPAI,Bottomland,"PG,PG,PG",PG,PG,PG,1,2
199,200,"SCBR2,SPAI,PLMU3",SCBR2,SPAI,PLMU3,Bottomland,"PG,PG,PG",PG,PG,PG,1,2
204,205,"SPORssp,FLCE,PLMU3",SPORssp,FLCE,PLMU3,Bottomland,"shrub,PG",NA,shrub,PG,1,4
9,10,"BOER4,ARIST,",BOER4,ARIST,,Clayey,"PG,PG",PG,PG,NA,1,1
14,15,"BOER4,ARIST,GUSA2",BOER4,ARIST,GUSA2,Clayey,"PG,PG,subshrub",PG,PG,subshrub,1,1
17,18,"BOER4,ARIST,PRGL2",BOER4,ARIST,PRGL2,Clayey,"PG,PG,shrub",PG,PG,shrub,1,4
25,26,"BOER4,PRGL2,YUEL",BOER4,PRGL2,YUEL,Clayey,"PG,shrub,succulent",PG,shrub,succulent,1,4
32,33,"EPHspp,PLMU3,GUSA2",EPHspp,PLMU3,GUSA2,Clayey,"succulent,PG,subshrub",succulent,PG,subshrub,1,4
58,59,"FLCE,SCBR2,BOER4",FLCE,SCBR2,BOER4,Clayey,"shrub,PG,PG",shrub,PG,PG,1,4
78,79,"GUSA2,PRGL2,PSSC6",GUSA2,PRGL2,PSSC6,Clayey,"subshrub,shrub,shrub",subshrub,shrub,shrub,1,6
84,85,"HIMU,SCBR2,",HIMU,SCBR2,,Clayey,"PG,PG",PG,PG,NA,1,2
86,87,"HOFF spp.,Bare,",HOFF spp.,Bare,,Clayey,"forb,Bare",forb,Bare,NA,1,7
118,119,"PLMU3,SCBR2,",PLMU3,SCBR2,,Clayey,"PG,PG",PG,PG,NA,1,1
120,121,"PLMU3,SCBR2,MUAR",PLMU3,SCBR2,MUAR,Clayey,"PG,PG,PG",PG,PG,PG,1,1
142,143,"PRGL2,GUSA2,",PRGL2,GUSA2,,Clayey,"shrub,subshrub",shrub,subshrub,NA,1,6
172,173,"SCBR2,ARIST,BOER4",SCBR2,ARIST,BOER4,Clayey,"PG,PG,PG",PG,PG,PG,1,2
176,177,"SCBR2,BOER4,MUAR",SCBR2,BOER4,MUAR,Clayey,"PG,PG,PG",PG,PG,PG,1,2
185,186,"SCBR2,PLMU3,BOER4",SCBR2,PLMU3,BOER4,Clayey,"PG,PG,PG",PG,PG,PG,1,2
188,189,"SCBR2,PLMU3,FLCE",SCBR2,PLMU3,FLCE,Clayey,"PG,PG,shrub",PG,PG,shrub,1,4
190,191,"SCBR2,PLMU3,GUSA2",SCBR2,PLMU3,GUSA2,Clayey,"PG,PG,subshrub",PG,PG,subshrub,1,2
192,193,"SCBR2,PLMU3,MUAR",SCBR2,PLMU3,MUAR,Clayey,"PG,PG,PG",PG,PG,PG,1,2
36,37,"FLCE,LATR2,BOER4",FLCE,LATR2,BOER4,Draw,"shrub,shrub,PG",shrub,shrub,PG,1,5
45,46,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Draw,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
52,53,"FLCE,LATR2,SPORO",FLCE,LATR2,SPORO,Draw,"shrub,shrub,PG",shrub,shrub,PG,1,6
102,103,"LATR2,FLCE,PRGL2",LATR2,FLCE,PRGL2,Draw,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
